kommune;segment;år;I alt;Ingen pendling;Indtil 5 km;5-10 km;10-20 km;20-30 km;30-40 km;40-50 km;Over 50 km
Odsherred;Mænd;2022;6067;1070;1218;875;1053;622;282;149;798
Odsherred;Kvinder;2022;5928;456;1336;1111;1343;724;362;133;463
Ringsted;I alt;2022;18423;1232;4992;1397;2287;2773;2156;1078;2508
Ringsted;Mænd;2022;10336;852;2398;727;1116;1517;1264;712;1750
Ringsted;Kvinder;2022;8087;380;2594;670;1171;1256;892;366;758
Slagelse;I alt;2022;36405;2268;11401;3469;8090;2671;2273;1133;5100
Slagelse;Mænd;2022;18092;1613;4973;1665;3683;1239;1046;585;3288
Slagelse;Kvinder;2022;18313;655;6428;1804;4407;1432;1227;548;1812
Sorø;I alt;2022;12631;1215;2583;1219;2777;1607;1298;532;1400
Sorø;Mænd;2022;6423;868;1094;543;1275;757;680;290;916
Sorø;Kvinder;2022;6208;347;1489;676;1502;850;618;242;484
Stevns;I alt;2022;6507;1227;1336;1087;1244;489;264;293;567
Stevns;Mænd;2022;3361;858;592;500;520;202;143;171;375
Stevns;Kvinder;2022;3146;369;744;587;724;287;121;122;192
Vordingborg;I alt;2022;17371;1955;4350;1927;2982;2019;1507;609;2022
Vordingborg;Mænd;2022;8579;1326;2023;846;1254;883;723;295;1229
Vordingborg;Kvinder;2022;8792;629;2327;1081;1728;1136;784;314;793
Assens;I alt;2022;15859;1576;3626;2052;3750;2476;1114;529;736
Assens;Mænd;2022;8478;1117;1824;1024;1849;1244;600;320;500
Assens;Kvinder;2022;7381;459;1802;1028;1901;1232;514;209;236
Faaborg-Midtfyn;I alt;2022;19434;2111;4246;2591;4218;3705;1308;388;867
Faaborg-Midtfyn;Mænd;2022;10287;1464;2099;1249;2077;1835;706;234;623
Faaborg-Midtfyn;Kvinder;2022;9147;647;2147;1342;2141;1870;602;154;244
Kerteminde;I alt;2022;10293;969;2056;1724;3032;1192;417;267;636
Kerteminde;Mænd;2022;5900;623;1050;849;1725;692;267;188;506
Kerteminde;Kvinder;2022;4393;346;1006;875;1307;500;150;79;130
Langeland;I alt;2022;4583;581;1585;606;686;516;134;116;359
Langeland;Mænd;2022;2315;415;766;270;308;231;67;58;200
Langeland;Kvinder;2022;2268;166;819;336;378;285;67;58;159
Middelfart;I alt;2022;19463;1485;5021;2457;3232;1911;1661;1655;2041
Middelfart;Mænd;2022;10247;1010;2401;1095;1548;1029;892;938;1334
Middelfart;Kvinder;2022;9216;475;2620;1362;1684;882;769;717;707
Nordfyns;I alt;2022;10226;1385;2353;1492;2820;1108;437;169;462
Nordfyns;Mænd;2022;5504;987;1155;748;1384;564;254;102;310
Nordfyns;Kvinder;2022;4722;398;1198;744;1436;544;183;67;152
Nyborg;I alt;2022;11618;968;4017;1251;1939;1544;1042;295;562
Nyborg;Mænd;2022;5769;653;1818;640;863;745;536;161;353
Nyborg;Kvinder;2022;5849;315;2199;611;1076;799;506;134;209
Odense;I alt;2022;115516;4176;42027;25092;16908;9497;4563;3733;9520
Odense;Mænd;2022;58575;2754;18965;12462;8739;5051;2535;2024;6045
Odense;Kvinder;2022;56941;1422;23062;12630;8169;4446;2028;1709;3475
Svendborg;I alt;2022;24626;2039;9005;4101;3544;1742;1271;1802;1122
Svendborg;Mænd;2022;11855;1354;3976;1921;1641;796;567;898;702
Svendborg;Kvinder;2022;12771;685;5029;2180;1903;946;704;904;420
Ærø;I alt;2022;2418;358;958;296;515;110;61;20;100
Ærø;Mænd;2022;1191;224;467;111;233;56;32;16;52
Ærø;Kvinder;2022;1227;134;491;185;282;54;29;4;48
Billund;I alt;2022;20978;948;4827;1525;3290;2765;2466;1418;3739
Billund;Mænd;2022;11221;663;2469;726;1624;1402;1248;791;2298
Billund;Kvinder;2022;9757;285;2358;799;1666;1363;1218;627;1441
Esbjerg;I alt;2022;63384;2959;20222;14938;8333;5215;2729;1608;7380
Esbjerg;Mænd;2022;34067;2057;9968;7594;4257;2620;1388;828;5355
Esbjerg;Kvinder;2022;29317;902;10254;7344;4076;2595;1341;780;2025
Fanø;I alt;2022;1170;167;614;140;130;31;19;7;62
Fanø;Mænd;2022;500;92;260;47;55;11;6;5;24
Fanø;Kvinder;2022;670;75;354;93;75;20;13;2;38
Fredericia;I alt;2022;30449;1103;8834;4485;4186;3336;1345;1675;5485
Fredericia;Mænd;2022;17977;746;4309;2419;2380;2014;843;1164;4102
Fredericia;Kvinder;2022;12472;357;4525;2066;1806;1322;502;511;1383
Haderslev;I alt;2022;23768;1829;6661;3358;4424;2717;1523;781;2475
Haderslev;Mænd;2022;12518;1287;3077;1741;2092;1371;829;465;1656
Haderslev;Kvinder;2022;11250;542;3584;1617;2332;1346;694;316;819
Kolding;I alt;2022;56984;2808;16085;7773;8343;7958;3672;1864;8481
Kolding;Mænd;2022;30668;1902;7452;4006;4153;4151;2063;1139;5802
Kolding;Kvinder;2022;26316;906;8633;3767;4190;3807;1609;725;2679
Sønderborg;I alt;2022;33856;1764;11451;5663;7568;3821;1168;406;2015
Sønderborg;Mænd;2022;17888;1231;5482;2878;4054;2096;624;233;1290
Sønderborg;Kvinder;2022;15968;533;5969;2785;3514;1725;544;173;725
Tønder;I alt;2022;16618;1782;4831;1732;3305;1918;1057;677;1316
Tønder;Mænd;2022;8551;1276;2479;847;1583;889;458;314;705
Tønder;Kvinder;2022;8067;506;2352;885;1722;1029;599;363;611
Varde;I alt;2022;22678;2240;6011;2413;5008;3425;1249;609;1723
Varde;Mænd;2022;12423;1543;3054;1286;2620;1692;658;345;1225
Varde;Kvinder;2022;10255;697;2957;1127;2388;1733;591;264;498
Vejen;I alt;2022;21121;1842;5192;2599;3627;2456;1830;1412;2163
Vejen;Mænd;2022;12061;1316;2777;1340;1827;1323;1072;843;1563
Vejen;Kvinder;2022;9060;526;2415;1259;1800;1133;758;569;600
Vejle;I alt;2022;59906;3868;16318;8198;10379;8056;3427;1747;7913
Vejle;Mænd;2022;31133;2620;7400;4134;4849;3982;1872;1007;5269
Vejle;Kvinder;2022;28773;1248;8918;4064;5530;4074;1555;740;2644
Aabenraa;I alt;2022;30408;1955;6907;4489;4951;4880;2890;1195;3141
Aabenraa;Mænd;2022;15819;1388;3423;2168;2472;2397;1384;585;2002
Aabenraa;Kvinder;2022;14589;567;3484;2321;2479;2483;1506;610;1139
Favrskov;I alt;2022;20910;1884;4355;2104;4480;3992;1604;750;1741
Favrskov;Mænd;2022;11286;1355;1989;1094;2274;1976;941;438;1219
Favrskov;Kvinder;2022;9624;529;2366;1010;2206;2016;663;312;522
Hedensted;I alt;2022;23020;2014;5048;2638;6546;2591;1040;756;2387
Hedensted;Mænd;2022;13389;1443;2673;1437;3655;1385;637;470;1689
Hedensted;Kvinder;2022;9631;571;2375;1201;2891;1206;403;286;698
